Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;;
A1FQOCN6SNXNG6;972683275;Dave;[0, 0];I mounted this t.v. in about 30 minutes.  The instructions were simple.  Came with its own little wrench to loosen and tighten the swivels.  I can say I am very pleased.  Money well spent.;5.0;Awesome, cheap, easy, simple;1342915200;07 22, 2012;;
A1FXZJ8ZMQLYBS;972683275;Ankur;[0, 0];i am completely satisfied with the product. its quite strong and functional.saved a lot of money too.thanks very much.;5.0;Amazingly good deal;1322524800;11 29, 2011;;
A1G1B7UE7D675U;972683275;Amazon Customer;[0, 0];Bought this for my 40 in to put in my bedroom. It works exactly as described and installation was eay. I recommend;5.0;As described;1383955200;11 9, 2013;;
A1G5508T5XY1RS;972683275;"S. Hardy \RuffRyd\""""";[1, 1];"Great wall mount at a great price.  Already fully assembled out of the box and seems built to last.  I really like the swivel and tilt as we need it when laying down in the bedroom.  Easy instructions (I'm not a carpenter).  I used this on a 32\ Samsung LED TV.""";5.0;Just as expected!;1353283200;11 19, 2012;;
A1GEN2ZI0TQW5;972683275;R. Hackney;[0, 0];I liked it for the week we had it lol. Husband didn't tell me he was buying a 55 inch a week after we got this installed! Worked well and great price!;4.0;It worked ok;1355356800;12 13, 2012;;
A1GJHLL1Y090P5;972683275;Lambirth;[0, 0];"This TV stand is being used for our 32\ Vizio. The hardware included was perfect and the stand bolted right up. I did need a socket and ratchet. Getting the TV into place however, was a bit more difficult. I recommend having a second person to install. One to hold the TV in place while another lines up and inserts the screws into the back of the TV. This wall mount is pretty strong, and seems to hold my TV's weight without any strain.""";5.0;Installed so fast!;1289692800;11 14, 2010;;
A1GLHE8QE65D0W;972683275;G. Sanders;[1, 1];Compared to mounts I have used on other display panels, this is very poor quality. Motion joints have unpredictable friction. Loosening or tightening joints is good for one or two motions, then they loosen more or become sticky. I would not mount a $600 display on such a poorly made mount. I have returned it to Amazon. Return process was very easy. High marks for that!;1.0;Poor quality, sticky motion joints, not a credible mount;1340668800;06 26, 2012;;
A1GLL5CJ1SFAMS;972683275;"Carolyn D \Carolyn D\""""";[0, 0];"Easey to put together and install. Used to mount a 37\ LED flat screen. Instuction say to mount the complete unit but if you mount the TV to the back plate on the ground first its a one person job. Well built product for being made in China.wish you could buy American made, better luck next time.""";5.0;wall mount;1326326400;01 12, 2012;;
A1GOBWZGW5KTYG;972683275;lfod;[0, 0];The instructions and fastener labeling was a bit vague, but I was able to install it with ease. Works great! After buying a competitive product at Best Buy for $125...I found this gem on Amazon.com, for a fraction of the price. I returned the Best Buy product the next day. Thank you, Amazon!;5.0;Works great at a fraction of the cost of others;1352937600;11 15, 2012;;
A1GSL1M8TPUSB2;972683275;CheapGuy;[0, 0];"I've got a 32\ Sony Bravia flat pannel TV that just about maxes out the compacity of the mount, but it looks really good.  There's a little sag, but only because I have the mount extended to keep the TV at a 45 deg angle on the corner.  I would buy this again, and as a matter of fact I might buy it soon, as I plan to mount another TV.  Great Product!!""";5.0;"Great fo 32\ Sony TV""";1340496000;06 24, 2012;;
A1H6N17FJZMZ2G;972683275;R. H. Braunstein;[0, 0];I just got this TV mount and I have to say, that I am really impressed with everything about this. It came very well package, and had a diagram on the OUTSIDE of the box, so you can actually just follow that, oh and it does come with easy instructions. You dont need to be a rocket scientist to hang this up. I was lucky enough to NOT have to use the arms, as I have a newer Samsung 40 inch. No sag, very sturdy This was very easy to install. I would def. recommend.Pros:1. Great packaging2. Easy to install3. Worth every pennyCons:None, just buy it.;5.0;Perfect!;1371081600;06 13, 2013;;
A1HAF9KEUQHT5F;972683275;Don;[0, 0];Easy, quick install. Carries the weight of the 32 inch easily. couldn't swear to it's performance on a 55 inch tv.;5.0;as described;1356048000;12 21, 2012;;
A1HBNCPHMW87Y0;972683275;so cal;[0, 0];"got this to hang a 32\ sony lcd in my bedroom.  used my stud finder to locate the studs, drilled 6 pilot holes and hung it up.  and extra set of hands is helpful when hanging the mount and mounting the tv.  holes on mount lined up perfectly with my tv.  screws fit just right.no complaints.""";5.0;"works perfectly with my 32\ sony lcd""";1336348800;05 7, 2012;;
A1HJMUCKBJ38XL;972683275;Hardazz;[0, 0];I was not hesitant to buy this product based on the many positive reviews but now that I have this product installed in my bedroom I have to say that the reviews undersold the  quality and value of this wall mount unit.The  mount unit itself is solid, well constructed, and designed to give you almost unlimited viewing angles. It is easy to install and comes with all the hardware and tools you need except a drill and bits for making pilot holes.Note: If you are installing in corner of room to catch corner stud you will need to leave about a 1/4 inch space between the side plate and corner of wall. I modified cover to fit but would have been easier had I left the space.What surprised me is that it also came with a mini level and an HDMI cable. Most people spend more on the cable than they would have spent on this unit.No brainer, get this if you need a wall mount for your flat panel tv.;5.0;Excellent!;1314748800;08 31, 2011;;
A1HM9UYHIQ3YM2;972683275;prw;[0, 0];This is one of the better one's out there.  With the adapters I can't imagine any TV this would not work with.  I am actually going to buy another one.;5.0;Nice Mount;1401062400;05 26, 2014;;
A1HMK1KMWQBDTT;972683275;M. Woole;[0, 0];"Works great for a cheap mount. Worked great on a 32&#34; Emerson LCD tv. Does everything as advertised! Can tighten or loosen joints for easier movement.";5.0;Good buy for price.;1387929600;12 25, 2013;;
A1HMMR78CDCNB;972683275;patwersjd;[0, 0];This mount is just amazing, the price is unbeatable, its extremely easy to insall, definately gonna buy more for my next projects.;5.0;Awesome;1297555200;02 13, 2011;;
A1HRZF7BQSCLUC;972683275;Amy G;[0, 0];This is a great quality mount, very strong and very good price! Diffenately plan on buying another mount for my other flat screen.;4.0;Good mount;1354665600;12 5, 2012;;
A1HT4T3HR2W9VG;972683275;CHris brown;[0, 0];finally found a mount to fit my tv! I have a 42in. but it is older and I wanted to hang it above the fireplace. very easy to install, although the directions were very vague;5.0;great product;1396483200;04 3, 2014;;
A1HYHOBZPJKY1I;972683275;"Diaz755 \-Daniel\""""";[0, 0];"Highly recommend this product. Price is awesome and it includes an HDMI cable. This same \combo\"" at Walmart would run a good $150.Installed it in 30-45 minutes and the biggest pain for me was finding a stud in the wall. there are 6 holes for the lag screws to go into which are supposed to go into a stud in the wall. Well in my wall we were able to find half the stud, so 2 of the holes (one on the top right and one on the bottom right) went into a stud, the middle screw I think got part of the stud and the 2 left screws I had to use an anchor on. Probably not the best way of doing it, but the TV is up very sturdy. Now I don't move it around at all since the spot I mounted is a corner and doesn't allow for much movement, but if you get this unit and intend to adjust it constantly I recommend you install it into a solid stud.""";5.0;Great buy;1317254400;09 29, 2011;;
A1HZ68B7UMNWVW;972683275;C. Skaggs;[0, 0];"This was one of the easier mounts that I've installed, taking less than 30 minutes unboxing to TV hung. I'm using a Samsung 42\ flat panel. With some of the reviews I've seen, reviewers report the mount that bolts to the TV wasn't removable from the arm itself. I found this not to be the case and I've uploaded photos showing as such. I also like the angles that the TV can articulate to. After bolting the mount to a stud and hanging the TV, I found little sag. I'm very impressed with it for the price. And to be honest the only time it would sag or \""bounce\"", is when the mount was completely extended. That's also with a TV that's pushing the weight limit of the mount. All in all, I wouldnt' hesitate to buy this mount again.""";5.0;EXCELLENT low cost mount;1383523200;11 4, 2013;;
A1IMCM3OSZFPQK;972683275;Otis Clayborne II;[3, 4];After looking at a couple of negative reviews, I thought I would take a chance on this wall mount and I'm glad I did. This mount was very sturdy and is one the heaviest mount I've. (which, in my opinion, vouches for it strength. I mounted a 2012 51 inch Samsung plasma TV and , after two weeks, the mount still holds. I have used it for hours extended in multiple positions - it still holds.;5.0;Great Wall Mount;1361750400;02 25, 2013;;
A1IMLITOE76MZC;972683275;Steve;[1, 1];"I had low expectations from a TV mount priced this low. This is a well built mount and well worth the price. I was surprised at the quality and construction of it. I was able to install the mount and install the 24\ TV in less than 1/2 hour. I would have given it 5 stars if the instructions gave drill bit sizes instead of just 'drill holes'.""";4.0;Very nice mount;1292630400;12 18, 2010;;
A1IS1QNHOQVMG5;972683275;"T. Meyer \Babe in the Woods\""""";[0, 0];I am very happy with this wall mount.  This is the first wall mount I have purchased, so I was a little anxious.  This was easy to install and went up quickly.  This allows me to move the TV in every direction - I love it!  I will be able to angle this one way to watch while in bed and then move it around for the other side of the room while I am on the treadmill or sewing.  It is also very study and I feel confident with my TV mounted on this;5.0;very happy with this;1386979200;12 14, 2013;;
A1IXF1F4DMS1XO;972683275;Paul V.S.;[0, 0];"Easy to install, works perfectly on a 40\ Westinghouse LCD!  Includes all hardware required for almost any application.  Highly recommended!""";4.0;Excellent Value;1360972800;02 16, 2013;;
A1JI3XL5ME8CWM;972683275;Beakeagles;[0, 0];"Great bracket for small TVs.  I used it on a 19\ LCD and it worked well.  The large mounting plate may block some connections on some TVs.  Installed easily and could be adjusted to make level.  The links were very tight and need to be loosened for initial installation.  When the TV is in the desired position, you can tighten them up.""";4.0;Great product for money;1336435200;05 8, 2012;;
A1JKBJEKH5GXIT;972683275;coldone;[0, 0];my unit arrived quickly, installation is so easy plus it comes with everything you need to install it. Highly recommend this product.;5.0;tops;1327536000;01 26, 2012;;
A1JLEDHBYBOLG2;972683275;Amazon Customer;[0, 0];We have such a tiny house, but we have nice TV's.  Wanted to be able to have a nice big TV in our room and this helped with that.  Super easy to put together, really strong and lots of extra screws just in case.  Only 25 dollars for such a life improver.  Would really suggest you buy this if you need to put your TV up and out of the way!!;5.0;Sorely Needed;1321488000;11 17, 2011;;
A1JM94NHL7GWXM;972683275;vinny;[0, 0];Paid three times as much for a similar mount. Very simple to mount unlike the more expensive one. Highly recommend this item. Used on a 32 inch TV. Solid.;5.0;Good buy from Amazon;1343088000;07 24, 2012;;
A1JOEW6J1H9CXX;972683275;carolina mj;[0, 0];price is right on this product! very easy to install..my husband is not the most patient fella when its comes to installing new things, but this went very smooth and quick! thank goodnes! most certainly will pass the good word on this product...by the way the price was $25.00. before researching on amazon, we bought one for our first flatscreen at wal mart...mistake! the cost was 100.00! granted, it had a few extra features,which we did not need.;5.0;great buy!;1342137600;07 13, 2012;;
A1JRWN50MPG8EH;972683275;Nora;[1, 2];Given the wealth of reviews, I thought this wall mount would be a safe bet. Unfortunately, it never even made it onto the wall.The bolts securing the swing arm were tightened so far, the arm could not be moved. (It's worth noting that the enclosed instructions *do* mention that in some cases, the bolts may need to be adjusted manually. Unfortunately, these were so tight, they could not even be loosened with a wrench.)After about half an hour of struggling with it, I returned it as defective. Better luck next time.;2.0;Had potential, but was impossible to adjust arm;1362960000;03 11, 2013;;
A1JTG2AJ38OHKO;972683275;Sandra Smith;[0, 1];"This was installed by two handy men - the first they had every done.  Went very well.  This mount was chosen because of the 20  inch extension.  The wall is recessed so the TV needs to come out of that hole.  The mounting plate sets above the 23\ LED TV an inch but the length of the extension makes that O.K.  I would have done this myself (68 yo female) except the handy stud finder declared the whole 3' wall was a stud!!  With much chatting the handy men were finished in 45 minutes.""";5.0;"Flat screen TV mount 20\ extention""";1331078400;03 7, 2012;;
A1K8NFAW926KCG;972683275;"M. C. Eubanks \mce0595\""""";[0, 0];This product works as advertised.  It is worth what it costs.  It doesn't quite move easy enough - almost like it needs some lubrication. But other than that, I recommend it.;4.0;"VideoSecu Articulating LCD LED TV Wall Mount Full Motion Tilt Swivel Monitor Mount Bracket for most 22\ to 37\"" Flat Screen with""";1350259200;10 15, 2012;;
A1KECIKIWDB4HH;972683275;Easy Shopper;[3, 4];Product was very acceptable for what I was needing. It was easy to install and met the needed requirements.;4.0;Approval Acceptance;1282867200;08 27, 2010;;
A1KFWYUVIPJTLQ;972683275;J. Meyer;[0, 0];This mount is much lower priced than anything I have seen in the retail stores (including Walmart). It is a little flexible & wobbly, so it would not be the best in an area where kids would mess with it.  That is the only reason I didn't give it 5 stars.  I use it in a bedroom up high, where it won't be messed with.  It does everything I need it to do at a great price, so it is perfect for me.;4.0;Good Value;1359936000;02 4, 2013;;
A1KI8R3FT71PPK;972683275;ezg;[0, 0];The wall mount was just what I expected...maybe a little better. Solid steel with attachment bolts. Looks like it should last for a long time.;5.0;Just What I Expected;1346198400;08 29, 2012;;
A1KM3IPZ9H0JKZ;972683275;J. A. Quayle;[0, 0];It took about 10 mins to install this TV Wall Mount with a 48 inch Samsung TV.  It does the job, there are much more expensive arms, but this does the trick.;4.0;Easy to install, cheap, easy to use;1390867200;01 28, 2014;;
A1KRHIY9NDPFCD;972683275;Verne Hayes;[0, 0];This wall mount  can and will accommodate all types of flat screens. I enjoyed the ease of assemble and the instructions.;5.0;This is the one;1355702400;12 17, 2012;;
A1KTFQ7F43U7RV;972683275;Sheldon Bukantz;[0, 0];This Flat screen wall mount was about 1/4 the price of the ones at the stores and works as well or better.;5.0;Works Well;1356652800;12 28, 2012;;
A1KXONFPU2XQ5K;972683275;Stephanie Manley;[0, 0];I thought this was a great value for a wall mount.  I have installed a 32 inch tv in my bathroom with this unit.  It worked well with the Visio TV that I bought.  It looked it it could accomodate many other tvs because there were a variety of holes on the mounting bracket.  Is it the best quality ever, no.  It is decent quality, and it worked well for me.;4.0;Effective and inexpensive;1341446400;07 5, 2012;;
A1L0MEXMESE4C4;972683275;Xpert;[0, 0];received the product and got it installed today. for the most part I am pretty happy with the hardware except the materials being used to make screws or other parts. the screws get very easily damaged by the most commonly used screw drivers that you can find for $1 per piece.  Once I put the bolt into the LCD TV and mount it with the plate, I found myself having a hardtime removing the screw because the tread mark on the screw head is already messed by by the screw driver, which makes me doubt about the material being used on the mount and arms.  is the material used on the mount going to deliver the same quality as the bolts and nuts?;3.0;just got it installed;1356739200;12 29, 2012;;
A1L5LHGAUIIEOU;972683275;bo$$;[0, 0];Worth the money...High quality product......It fits perfect for my 32in..RCA...LED...It came a day early.Fixing to order one more. Best TV wall mount for the money;5.0;VideoSecu Articulating LCD;1345161600;08 17, 2012;;
A1L7JCX9IKGKIQ;972683275;Reisetante;[0, 0];"I am very happy with this affordable wall mount for my Sony 32\ Internet TV. One nice feature ist that you can swivel the mounted TV depending on where you are seated.""";5.0;TV Wall mount;1332201600;03 20, 2012;;
A1LE0TJ3UYVV7X;972683275;KC;[0, 0];"Awesome, great wall mount for TV, came with 2) 2-1/2&#34; lag bolts and a vast assortment of hard ware, so much hardware you should be able to mount any TV to the mount.  Mount is hidden completely behind TV yet looks attractive, folds to just a few inches from the wall or pulls out to position, easy to adjust angle adjustment and came with clips to keep the cord from being pinched inside the mount.  Shipped and arrived very quickly.";5.0;TV wall mount;1387238400;12 17, 2013;;
A1LF1OUBDUFHLX;972683275;Travis Taylor;[0, 0];Exactly what they said it was. Very sturdy mount that can fit almost any sized tv. It was easy to install.;5.0;Great.;1375228800;07 31, 2013;;
A1LSU3ES5R6WLN;972683275;JENA;[0, 0];"I was worried but this thing holds up my 55&#34; 3d LG tv  and can adjust for any size...and is a great deal I'd get another if I needed one";5.0;55\;1380067200;09 25, 2013;;
A1LTK10ZAR774J;972683275;"This Girl Hemingway \Great Days Ahead\""""";[0, 0];"Like the various Adustablity, as I had an older model in my living room and it was hard to get it away from the wall when I wanted to angle it.This one is very light and I can get it to adjust with very little effort, I have some arthritis in my knuckles, so this is a very nice asset.  also I am 5'2&#34; and I struggled with the older wall mount, this one is in the Identical Location and moves in and out so easily.You might have to  tighten it up a little more than I have it as it tilts about 2 inches Forward the was I have it, but it is up High and I don't even notice it from my recliner chair.";5.0;Installed easily,  Good for my 46 In thin tv;1358380800;01 17, 2013;;
A1M17ZTK354P6Y;972683275;Ellen;[0, 0];"The wall mount arrived in a timely manner.  I was a little hesitant about ordering this product after reading other reviews that was not very favorable.  I took a chance and ordered the wall mount .  I am using it with a Samsung 32&#34; LCD/ LED Smart Tv and it works fine.  My husband had no problem with the installation and did it by himself.  When I arrived home it was hung and ready to go.  There is no sag and the unit is pretty heavy and solid.  I had to loosen some of the screws because they were to tight and I could not adjust the tv like I wanted to.  Other than that the tv wall mount is fine.  I don't know what experiences others had but for the price yipeeeeee!";4.0;Video Secu Swing Arm TV Wall Mount;1369353600;05 24, 2013;;
A1M1P0Y1GIHMK4;972683275;Raquel Valle;[0, 1];"i got it based on the a suggestion you know the products often purchased with------. So I got it it said it &#34;FITS MOST&#34; 19in-36 inch tv. So not true. Well it was a BIG let down more because it was a Christmas gift the TV and wall mount was going to be up Christmas morning oh joy....But no the stupid mount didn't fit the TV. So I have the TV still sitting in the box and told the kids that Santa will have to send us the extension parts via UPS. Not Cool at.";2.0;not cool;1356739200;12 29, 2012;;
A1M6DES3E3CLW2;972683275;"Louis Grala \Biggen\""""";[0, 0];Well worth the money would buy again and suggest item built as good as the ones in the stores for double the money;5.0;awesome;1330732800;03 3, 2012;;
A1M7VPG9Q6JEO8;972683275;dkiess;[0, 0];I had read a couple of bad reviews about this product - that it was hard to put up but we purchased it anyway. My husband had it installed in no time and we love it. This was our first flat screen TV and we have it in our bedroom and this bracket is perfect for it. Thank you.;5.0;Wonderful;1346457600;09 1, 2012;;
A1MDERNKA03DON;972683275;csherman4383;[3, 3];This product is sturdy as ever.  Whatever angle we are watching within our fifth-wheel trailer, we can maneauver to that position and tilt our tv for great viewing.  Wonderful product!  Easy to install.;5.0;Great tv wall mount;1342828800;07 21, 2012;;
A1MQPFL5EALKU0;972683275;Ramart;[1, 2];"I mounted a 32\ flat-panel TV in a bedroom with this excellent product, which can be set permanently to almost any viewing angle (lateral and up/down tilt) and readjusted with wrenches. You'll need a stud-finder, a drill, and a screwdriver. A wide assortment of mounting bolts and adjustment wrenches is included.A very similar product at Best Buy is about $120. Save your money and buy this one (but be sure your TV weighs less than the specified max.)""";5.0;Buy this, save nearly $100;1338422400;05 31, 2012;;
A1MSO6LERG39PC;972683275;cajunjake;[1, 1];"Cannot beat this deal anywhere else on the web!  All other retailers are over-priced for what you are getting - a couple pieces of fabricated metal to hold a TV that articulates! This mount is reasonably priced.Pros:  Easy to install (helps to have a cordless driver to drill 6 pilot holes, and to drive in 6 lag screws. You also need to have a stud finder).- Well fabricated- Mount does everything advertised (i.e. articulates - you made need to loosen up some nuts)Con's: Really stretching here since this is a good deal: Instructions could use some help for the \novice\"" DIY'ersInstall tip:  It really helps if you have a second person assisting you for the final step of mounting the flat panel to the TV mountInstalled a 15.5 lbs, 26 Inch Flat Panel LCD (VESA 200mm X 100mm) to this mount. Mount works beautifully! I originally had the TV sitting a little high on a stand, but then the picture was not as good because of the upward viewing angle of the screen (inherent problem with cheaper LCD's - not being directly in front of a LCD screen) - this mount corrected this issue by allowing me to \""tilt down\"" the screen.  I would strongly recommend this mount if you are in the market.""";5.0;Outstanding Articulating Wall Mount!;1347494400;09 13, 2012;;
A1MYNY918JSFCE;972683275;Philbert;[0, 0];"I mounted my 32\ TCL which isn't a very heavy HDTV, but it makes the mount flex a bit more than I like. Not a soid mount with a 32\"" tv";" less weight and smaller tvs should be fine.If you want a really solid mount for a 32\"" and up, spend the money and go better quality. I am a professional satellite installer and know how to find the stud, and mount it level and true. This is just adequate for the never-move situation my 32\"" is for, but for a tv needing some occasional motion I would listen to my cautions, and go better and heavier...something spanning 2 studs for support.""";3.0;"Good mount, great for lighter TVs, or less than 32\...just OK for 32\"" but no more.""";1341619200;;
A1N0MVWRW4JI84;972683275;Jay;[0, 0];"It looks exactly as it did in the picture.  It's sturdy and well constructed.  It's not the easiest thing to hang, but I did it alone and had no major problems.  It's holding a 37\ TV now and it's been up for a month and I haven't noticed any bowing.  The flexibility allows for a large range of movement which is nice.  I would definitely recommend this to anyone looking for a wall mount to hold a bigger TV.""";5.0;Exactly what I expected;1357862400;01 11, 2013;;
A1N4DKWTQ9YP1Q;972683275;"Heidi L. Rathbone \HLR61\""""";[0, 0];This is perfect for what I needed it for. I can move the screen from side to side if I need to and I don't have the TV sitting on my desk.....;5.0;Wall Mount;1359763200;02 2, 2013;;
A1N7QSP1U513KJ;972683275;Panama Red;[0, 0];The directions stink. Just remember the spacers go under the arms if you have to use them and you will be ok.;5.0;Awesome and cheap. The directions stink. Just remember the spacers go under the arms if you have to use them and you will be ok.;1361059200;02 17, 2013;;
A1N99F2Z4F01RG;972683275;hopalong1;[0, 1];"This TV mount is perfect for a tight spot on the wall for a 40&#34; TV.  I needed it to swing 180 degrees";5.0;tv mount;1369008000;05 20, 2013;;
A1N9QB2BECD6TS;972683275;"Seany B. \Football fan\""""";[0, 0];This is mounted in a doorway between two rooms in my basement with a 40 inch TV attached to it.  I can move it to either room and still keep the doorway open plenty wide enough to pass through.  Perfect for my needs.;5.0;Awesome range of motion;1386201600;12 5, 2013;;
A1NFUURN2RV9GT;972683275;Miranda;[1, 1];"My mount came in without any hardware. No bolts, washers, sleeves, anchors,or spanners. I did check the box for the proper model number (ML563B), and I did check the description to make sure hardware should have been included (&#34;Standard hardware and user manual included.&#34;).Amazon offered me a return at no cost, as they shipped it but did not sell the product. My options were to refund for another model, reorder the same model and risk the same issue, or just buy the hardware myself. I spent nearly $10 on hardware, but my 40&#34; television is securely mounted to the wall. The arms are a bit stiff, but they don't move once they've been adjusted. It has the right tilt for mounting near the ceiling.";3.0;Missing hardware;1391990400;02 10, 2014;;
A1NOPFD9YTMXHB;972683275;Delbert DeFlora;[0, 0];"Arrived on time, works as stated.  I hooked up a 39: tv.  This was smaller than I expected, and a littel Lighter than I expected, but the newer tv or lighter also.  I wouldn go above a 42&#34; tv however.  Lots of positions to put your tv in with a little tlc and effort in how you get the tv in your desired postion.There were all types of screws in the box, but the only ones that scewed into the bak of my tv were too long or too short.  The box had spacers but they still were not wide enough, so I had to cut some wood to adjust for the extra space.";4.0;It works;1393545600;02 28, 2014;;
A1NUKIAN0PKVCU;972683275;thebigapp;[0, 0];Excellent product. Far exceeded expectations! Easy to hang on the wall and even easier to attach to my tv. Full motion allows the tv to be viewed from any angle in my game room.;5.0;GREAT MOUNT!;1383436800;11 3, 2013;;
A1NWIXC6GNG2KY;972683275;snowman;[0, 0];"Perfect fit for my Vizio 37&#34;, easy installation, quick shpping, no problems whatsoever.  Wouldn't hesitate to buy another one when needed.";5.0;Great;1364083200;03 24, 2013;;
A1OBZBKACUXUXB;972683275;sandra james;[0, 0];Owned this for a couple of years now and I love it. Very sturdy and works just fine for us;5.0;Love it;1391731200;02 7, 2014;;
A1OO47RRQ4I29R;972683275;Lauren;[0, 0];"I usually never write reviews but after recieving this item and getting it put up I felt i needed too due to some of the negative reviews I read while doing some research on this item.I have a 46\ Samsung LCD, not the skinny one it weighs 46 lbs. By no means is the mount sagging at any point. Full extension or swiveled it does not sag one bit and I am very confident that it will hold because I did a pull up on the arm before installing the tv just to be sure. Make sure and tighten down the allenhead bolts for the tilt once you get it to the tilted angle that you are looking for. They give you more than enough hardware for whatever the case may be so do not worry if they will have the right size bolts because there are multiples .Overall a great product for the money and if you are thinking of this at all, dont think anymore, BUY!!""";5.0;"Great value for the price!!! 46\ LCD""";1360540800;02 11, 2013;;
A1OO6OKFFDBXNW;972683275;"Cisco-k1d \Cisco kid\""""";[0, 0];"Installation was fairly straight forward.  I do wish arm used more than 2 screws to secure to the wall.  It does not seem to have any problem with my 38&#34; TV that weighs over 50 lbs, but I'm leery of what would happen during an earth quake.";4.0;Easy installation;1396742400;04 6, 2014;;
A1OTUKRN9JEVJV;972683275;Zack;[0, 0];"This works perfect with a 50\ vizio tv I have. A very good price, a very sturdy and easily put together. Couldn't be happier""";5.0;Great product and great price;1374624000;07 24, 2013;;
A1OVX40QR93ZRK;972683275;Thomas A Krohn;[0, 0];"Solid, quality product at a great price.  I compared to other options and really glad I went with this unit for our 26\ TV.""";5.0;Great value!;1305417600;05 15, 2011;;
A1OY33KGOG3IX8;972683275;Robert Brasseur;[0, 0];Fits many different size TV's,  is very solid, and was easy to install.  I would recommend to anyone is even slightly handy.;4.0;Good Product;1360886400;02 15, 2013;;
A1OYA1IESSJ8F6;972683275;Kevin;[0, 0];I use this arm to mount my 39 inch Vizio. I'm surprised my TV has a 100x100 mount thingy. It can tilt left and right, up and down. I do wish it swiveled the TV so that it wasn't crooked. When the bolts get loose, my TV looks crooked.;5.0;Good arm;1390262400;01 21, 2014;;
A1P31CO3L42CH1;972683275;L. Rodriguez;[0, 0];"After looking around a bit I took the chance for some of the \cheaper\"" wall mounts in the market. This was a great decision. This mount is easy, sturdy as keeps my 32\"" LCD were I wanted, moves nicely (after having to play around a little as the beginning the arms were a bit tight). It is a very good buy, and bought a second one for a smaller TV""";4.0;Easy to install and very good price!;1298505600;02 24, 2011;;
A1P560UNX4SBE7;972683275;goatbear2;[2, 2];Works Great. Holds my 40 inch TV effortlessly. Very well built. Definitely worth the price. Easy to install TV to the mount. Has cord clips. TV can be tilted up or down and sideways. Extends from the wall 24 inches. I highly recommend this brand..;5.0;Samsung TV wall Mount;1382400000;10 22, 2013;;
A1P7CE4XXWG8WJ;972683275;Fwalker;[1, 1];At first I thought that I would have to have someone help me install the arm and TV, but found it to be very easy and no assistance  was needed, I am a 65 year old female and if I can install it anyone can.  It works great and looks good, and the price was well within my price range, Thank you, keep up the good work.;4.0;Mounting Arm for Flat Screen TV;1323302400;12 8, 2011;;
A1P95C3IU271TQ;972683275;RLL;[0, 0];I don't know why this model shows up on my account, however I did order and install a smaller VideoSecu model.  Installation on a 26 inch Vizio was a snap.  Bracket went inside a cabinet where an old analog tv sat. The new TV now swings out and away providing access to the cabinet.  I have ordered another VideoSecu articulating wall mount like this one for a similiar installation of a 32inch Vizio.I suggest one person hold the mounted TV where you would like it to swing out to, and have another person hold the wall attachment and mark the holes. That way your final viewing location and swing out radius should be correct.;5.0;Installed A VideoSecu Swing Arm like this.;1358121600;01 14, 2013;;
A1P9S4MYB15O0K;972683275;Nicholas DaRocha;[1, 1];Easy to install and very well built. Put it together in five minutes, then ten to place and screw to the wall. EASY!  If needed I would buy it again !;5.0;Great Product;1397347200;04 13, 2014;;
A1PU4NJBB1UU33;972683275;Lorraine;[0, 0];Worked perfectly to mount my tv to the wall. TV now swivels easily to accomodate me. It was very easy to install and very sturdy, I was worried it would be cheap but I was incorrect!;4.0;Great Item!;1317945600;10 7, 2011;;
A1PUB1SLAFU555;972683275;Ga Bulldawg;[0, 0];"purchased to install a 47&#34; tv in a 24&#34; deep built in cabinet - simple to install - works perfectly - great price";5.0;good product;1373414400;07 10, 2013;;
A1PV9NZBPCKSG2;972683275;heatherbow;[1, 1];This was very sturdy, easy to install, and I feel like my TV is secure. Really good price, fast shipping. Can't beat it!;5.0;Good buy;1352419200;11 9, 2012;;
A1PYNMFFQ9IBNL;972683275;Jim;[0, 0];Tv has been on wall for a long time.  Hasn't fallen off.  It's metal and considerably cheaper than kits available in stores.;5.0;Tv mount;1355702400;12 17, 2012;;
A1PZ1UEVHMNS18;972683275;nana nanny;[0, 0];very easy to install.  It took no time and is firmly in the stud.  The package came with many different nuts and bolts to handle any situation.;5.0;very easy to install.;1364083200;03 24, 2013;;
A1QBVPRRBYL5US;972683275;"Dog Lover \Rookie\""""";[0, 0];"Great price, very easy installation.  I am using it on a 42&#34; Sanyo in garage, easy to rotate and adjust.  It comes with more hardware than needed, and clips to conceal wiring.  This is the second one I have installed, probably takes 10-15 minutes.  Price is far better than I have seen anywhere.";5.0;Good price, strong unit.;1386201600;12 5, 2013;;
A1QGABHVJY6L8M;972683275;spyder;[1, 1];The quality of the mount is very good, very easy to install by myself.  But i am having an issue with the bracket for the back of the TV it covers all available inputs except for one HDMI input.  It even covers the plug, which I had to modify for it to fit my tv. I am still using it because as of right now I am only using one HDMI.  But other than that I would say it is a good mount if it does not cover your inputs.;3.0;GOOD but not good for VIZIO 26' LED RAZOR;1304208000;05 1, 2011;;
A1QJ22SXJBZZOJ;972683275;Robert;[0, 0];"I installed my tv using this mount about a month ago. Despite hitting a bad part of the stud with 1 screw, the other 5 were good and the tv seems secure.  I have a 32\ Sharp.  The mount includes about 5 different sets of screws so it's easy to find the ones that match your tv. No complaints so far.""";5.0;Good buy;1346284800;08 30, 2012;;
